omega,ReK,ImK,absK,phaseK
0.325,0.6883666043858788,0.08948765857016425,0.6941589321402667,0.12927500404814304
0.3375,0.6874708438704609,0.0928085639225122,0.6937071361239717,0.1341887279524205
0.35000000000000003,0.6865437426441741,0.0961161239701844,0.693239222672031,0.13909594148207138
0.36250000000000004,0.685585563526848,0.09940990671139298,0.6927552919096277,0.14399642170889207
0.375,0.6845965770171151,0.10268948655256725,0.6922554470078084,0.14888994760949723
0.3875,0.6835770611069065,0.10595444447157056,0.6917397941240871,0.15377630011950813
0.4,0.6825273010920435,0.10920436817472699,0.6912084423416937,0.15865526218640144
0.41250000000000003,0.6814475893791525,0.1124388522475602,0.6906615036075247,0.16352661882099323
0.42500000000000004,0.6803382252891437,0.11565749829915446,0.690099092668872,0.16839015714752995
0.4375,0.6791995148574894,0.11885991510006064,0.6895213270089929,0.17324566645236494
0.45,0.6780317706315381,0.12204571871367687,0.6889283267815866,0.17809293823119757
0.4625,0.6768353114651067,0.12521453262104473,0.688320214744253,0.18293176623485413
0.47500000000000003,0.6756104623105877,0.12836598783901168,0.6876971161909954,0.18776194651359343
0.48750000000000004,0.6743575540088148,0.13149972303171886,0.6870591588838404,0.19258327745991852
0.5,0.673076923076923,0.1346153846153846,0.6864064729836441,0.19739555984988078
0.5125000000000001,0.671768911494446,0.13771262685636143,0.6857391909801511,0.20219859688286154
0.525,0.6704338664878842,0.1407911119624557,0.6850574476213793,0.20699219421982104
0.5375,0.669072140313986,0.14385051016750697,0.6843613798423974,0.21177616002000327
0.55,0.6676840900419687,0.1468904998092331,0.6836511266935631,0.21655030497608926
0.5625,0.6662700773349197,0.14991076740035694,0.6829268292682926,0.2213144423477913
0.5750000000000001,0.6648304682306013,0.15291100769303828,0.6821886306304298,0.22606838799388387
0.5875,0.6633656329218887,0.15589092373664387,0.6814366757412769,0.2308119604026676
0.6000000000000001,0.6618759455370649,0.15885022692889558,0.680671111386362,0.23554498072086336
0.6125,0.6603617839201905,0.1617886370604467,0.6798920861020029,0.2402672727809385
0.625,0.6588235294117646,0.16470588235294115,0.6790997501017322,0.24497866312686414
0.6375000000000001,0.6572615666298912,0.1676016994906223,0.6782942552026546,0.24967898103830802
0.65,0.6556762832521541,0.17047583364556018,0.6774757547517901,0.2543680585532661
0.6625000000000001,0.6540680697984068,0.17332803849657785,0.6766444035524751,0.25904573048913987
0.675,0.6524373194146705,0.17615807624196106,0.6758003577908711,0.26371183446226615
0.6875,0.6507844276583382,0.178965717606043,0.6749437749626532,0.26836621090590684
0.7000000000000001,0.6491097922848663,0.18175074183976264,0.6740748137999271,0.2730087030867107
0.7125,0.6474138130361394,0.18451293671529978,0.6731936341984358,0.27763915711965625
0.7250000000000001,0.6456968914306799,0.1872520985148971,0.6723003971451125,0.28225742198149106
0.7375,0.6439594305558749,0.18996803201398313,0.6713952646460298,0.2868633495226784
0.75,0.6422018348623851,0.19266055045871563,0.6704783996548058,0.2914567944778672
0.7625000000000001,0.6404245099608884,0.195329475538071,0.6695499660015091,0.29603761447490307
0.775,0.6386278624213119,0.19797463735060675,0.6686101283221174,0.3006056700423955
0.7875000000000001,0.6368122995747002,0.2005958743660306,0.6676590519885806,0.30516082461586014
0.8,0.6349782293178518,0.20319303338171266,0.6666969030395267,0.30970294454245634
0.8125,0.6331260599208592,0.20576596947427922,0.6657238481116637,0.31423189908433824
0.8250000000000001,0.6312561998376768,0.20831454594643342,0.6647400543719129,0.31874756042064456
0.8375,0.6293690575198363,0.21083863426914515,0.6637456894503235,0.3232498036481421
0.8500000000000001,0.627465041233417,0.2133381140193618,0.6627409213737989,0.3277385067805555
0.8625,0.6255445588793815,0.21581287281338662,0.6617259185006787,0.33221355074659675
0.875,0.623608017817372,0.21826280623608016,0.6607008494562122,0.33667481938672716
0.8875000000000001,0.6216558246930574,0.22068781776603538,0.6596658830689519,0.3411221994486715
0.9,0.6196883852691218,0.22308781869688385,0.6586211883081088,0.3455555805817121
0.9125000000000001,0.6177061042599662,0.22546272805488765,0.6575669342218907,0.3499748553297901
0.925,0.6157093851701997,0.2278124725129739,0.6565032898768595,0.3543799191234378
0.9375,0.6136986301369863,0.2301369863013698,0.6554304242983311,0.35877067027057213
0.9500000000000001,0.611674239776302,0.23243621111499477,0.6543485064118443,0.3631470099461763
0.9625,0.6096366130331597,0.2347100960177665,0.6532577049857213,0.36750884218089586
0.9750000000000001,0.6075861470358475,0.23695859734398056,0.6521581885747454,0.3718560738485813
0.9875,0.6055232369542181,0.23918167859691614,0.6510501254649695,0.3761886146528022
1.0,0.6034482758620688,0.24137931034482754,0.6499336836196814,0.3805063771123649
